순위,단어,품사,초성
3912,근거하다,동,ㄱㄱㅎㄷ
2761,근무하다,동,ㄱㅁㅎㄷ
4773,긁다,동,ㄱㄷ
5586,금지되다,동,ㄱㅈㄷㄷ
4774,금지하다,동,ㄱㅈㅎㄷ
4976,금하다,동,ㄱㅎㄷ
5461,급증하다,동,ㄱㅈㅎㄷ
3854,긋다,동,ㄱㄷ
6757,기념하다,동,ㄱㄴㅎㄷ
5085,기다,동,ㄱㄷ
298,기다리다,동,ㄱㄷㄹㄷ
3680,기대다,동,ㄱㄷㄷ
4977,기대되다,동,ㄱㄷㄷㄷ
1303,기대하다,동,ㄱㄷㅎㄷ
5587,기도하다,동,ㄱㄷㅎㄷ
4185,기록되다,동,ㄱㄹㄷㄷ
1261,기록하다,동,ㄱㄹㅎㄷ
882,기르다,동,ㄱㄹㄷ
3308,기뻐하다,동,ㄱㅃㅎㄷ
5871,기술하다,동,ㄱㅅㅎㄷ
7464,기억나다,동,ㄱㅇㄴㄷ
9945,기억되다,동,ㄱㅇㄷㄷ
1905,기억하다,동,ㄱㅇㅎㄷ
2992,기여하다,동,ㄱㅇㅎㄷ
5732,기울다,동,ㄱㅇㄷ
1282,기울이다,동,ㄱㅇㅇㄷ
3223,기초하다,동,ㄱㅊㅎㄷ
9069,긴장되다,동,ㄱㅈㄷㄷ
3856,긴장하다,동,ㄱㅈㅎㄷ
6374,길어지다,동,ㄱㅇㅈㄷ
9949,까다,동,ㄲㄷ
9498,까먹다,동,ㄲㅁㄷ
2465,깎다,동,ㄲㄷ
3180,깔다,동,ㄲㄷ
2650,깔리다,동,ㄲㄹㄷ
9072,깨끗해지다,동,ㄲㄲㅎㅈㄷ
2277,깨다,동,ㄲㄷ
3394,깨다,동,ㄲㄷ
1139,깨닫다,동,ㄲㄷㄷ
5589,깨뜨리다,동,ㄲㄸㄹㄷ
3681,깨어나다,동,ㄲㅇㄴㄷ
8322,깨어지다,동,ㄲㅇㅈㄷ
4495,깨우다,동,ㄲㅇㄷ
2792,깨지다,동,ㄲㅈㄷ
791,꺼내다,동,ㄲㄴㄷ
3795,꺼지다,동,ㄲㅈㄷ
3070,꺾다,동,ㄲㄷ
3682,꼽히다,동,ㄲㅎㄷ
3462,꽂다,동,ㄲㄷ
3028,꾸다,동,ㄲㄷ
9503,꾸다,동,ㄲㄷ
5186,꾸리다,동,ㄲㄹㄷ
1635,꾸미다,동,ㄲㅁㄷ
3071,꿈꾸다,동,ㄲㄲㄷ
2495,끄다,동,ㄲㄷ
2208,끄덕이다,동,ㄲㄷㅇㄷ
4497,끊기다,동,ㄲㄱㄷ
1614,끊다,동,ㄲㄷ
3797,끊어지다,동,ㄲㅇㅈㄷ
568,끌다,동,ㄲㄷ
5736,끌리다,동,ㄲㄹㄷ
6032,끌어당기다,동,ㄲㅇㄷㄱㄷ
2854,끓다,동,ㄲㄷ
1416,끓이다,동,ㄲㅇㄷ
376,끝나다,동,ㄲㄴㄷ
1452,끝내다,동,ㄲㄴㄷ
4331,끼다,동,ㄲㄷ
2072,끼다,동,ㄲㄷ
4187,끼어들다,동,ㄲㅇㄷㄷ
3396,끼우다,동,ㄲㅇㄷ
196,나가다,동,ㄴㄱㄷ
304,나누다,동,ㄴㄴㄷ
5327,나누어지다,동,ㄴㄴㅇㅈㄷ
4874,나뉘다,동,ㄴㄴㄷ
104,나다,동,ㄴㄷ
4409,나르다,동,ㄴㄹㄷ
6379,나빠지다,동,ㄴㅃㅈㄷ
458,나서다,동,ㄴㅅㄷ
820,나아가다,동,ㄴㅇㄱㄷ
4679,나아지다,동,ㄴㅇㅈㄷ
50,나오다,동,ㄴㅇㄷ
160,나타나다,동,ㄴㅌㄴㄷ
588,나타내다,동,ㄴㅌㄴㄷ
2230,날다,동,ㄴㄷ
3309,날리다,동,ㄴㄹㄷ
2380,날아가다,동,ㄴㅇㄱㄷ
7201,날아다니다,동,ㄴㅇㄷㄴㄷ
2855,날아오다,동,ㄴㅇㅇㄷ
1056,남기다,동,ㄴㄱㄷ
290,남다,동,ㄴㄷ
5877,납득하다,동,ㄴㄷㅎㄷ
3226,낫다,동,ㄴㄷ
5465,낮아지다,동,ㄴㅇㅈㄷ
3572,낮추다,동,ㄴㅊㄷ
433,낳다,동,ㄴㄷ
1069,내놓다,동,ㄴㄴㄷ
167,내다,동,ㄴㄷ
2793,내다보다,동,ㄴㄷㅂㄷ
1041,내려가다,동,ㄴㄹㄱㄷ
3310,내려놓다,동,ㄴㄹㄴㄷ
3029,내려다보다,동,ㄴㄹㄷㅂㄷ
894,내려오다,동,ㄴㄹㅇㄷ
4120,내려지다,동,ㄴㄹㅈㄷ
243,내리다,동,ㄴㄹㄷ
1545,내밀다,동,ㄴㅁㄷ
4591,내버리다,동,ㄴㅂㄹㄷ
5737,내보내다,동,ㄴㅂㄴㄷ
4779,내쉬다,동,ㄴㅅㄷ
3574,내주다,동,ㄴㅈㄷ
4780,넓어지다,동,ㄴㅇㅈㄷ
2763,넓히다,동,ㄴㅎㄷ
5330,넘겨주다,동,ㄴㄱㅈㄷ
1459,넘기다,동,ㄴㄱㄷ
476,넘다,동,ㄴㄷ
1615,넘어가다,동,ㄴㅇㄱㄷ
4984,넘어뜨리다,동,ㄴㅇㄸㄹㄷ
1697,넘어서다,동,ㄴㅇㅅㄷ
4680,넘어오다,동,ㄴㅇㅇㄷ
4332,넘어지다,동,ㄴㅇㅈㄷ
2172,넘치다,동,ㄴㅊㄷ
219,넣다,동,ㄴㄷ
3398,노래하다,동,ㄴㄹㅎㄷ
944,노력하다,동,ㄴㄹㅎㄷ
4122,녹다,동,ㄴㄷ
8330,녹음하다,동,ㄴㅇㅎㄷ
6562,녹이다,동,ㄴㅇㄷ
2953,논의하다,동,ㄴㅇㅎㄷ
3859,논하다,동,ㄴㅎㄷ
418,놀다,동,ㄴㄷ
594,놀라다,동,ㄴㄹㄷ
4411,놀리다,동,ㄴㄹㄷ
4985,농사짓다,동,ㄴㅅㅈㄷ
1657,높아지다,동,ㄴㅇㅈㄷ
1153,높이다,동,ㄴㅇㄷ
415,놓다,동,ㄴㄷ
6382,놓아두다,동,ㄴㅇㄷㄷ
1319,놓이다,동,ㄴㅇㄷ
2173,놓치다,동,ㄴㅊㄷ
6201,놔두다,동,ㄴㄷㄷ
1599,누르다,동,ㄴㄹㄷ
8033,눈감다,동,ㄴㄱㄷ
8034,눈뜨다,동,ㄴㄸㄷ
981,눕다,동,ㄴㄷ
1011,느껴지다,동,ㄴㄲㅈㄷ
222,느끼다,동,ㄴㄲㄷ
1427,늘다,동,ㄴㄷ
1636,늘리다,동,ㄴㄹㄷ
809,늘어나다,동,ㄴㅇㄴㄷ
4412,늘어놓다,동,ㄴㅇㄴㄷ
4879,늘어서다,동,ㄴㅇㅅㄷ
4781,늘어지다,동,ㄴㅇㅈㄷ
1658,늙다,동,ㄴㄷ
3630,늦다,동,ㄴㄷ
6202,늦어지다,동,ㄴㅇㅈㄷ
2279,다가가다,동,ㄷㄱㄱㄷ
5334,다가서다,동,ㄷㄱㅅㄷ
1262,다가오다,동,ㄷㄱㅇㄷ
7736,다녀가다,동,ㄷㄴㄱㄷ
1876,다녀오다,동,ㄷㄴㅇㄷ
284,다니다,동,ㄷㄴㄷ
3399,다듬다,동,ㄷㄷㄷ
1114,다루다,동,ㄷㄹㄷ
9517,다양해지다,동,ㄷㅇㅎㅈㄷ
1361,다지다,동,ㄷㅈㄷ
3181,다짐하다,동,ㄷㅈㅎㄷ
3110,다치다,동,ㄷㅊㄷ
2546,다투다,동,ㄷㅌㄷ
1506,다하다,동,ㄷㅎㄷ
3631,닥치다,동,ㄷㅊㄷ
810,닦다,동,ㄷㄷ
1959,닫다,동,ㄷㄷ
4413,닫히다,동,ㄷㅎㄷ
1877,달다,동,ㄷㄷ
9979,달다,동,ㄷㄷ
3980,달다,동,ㄷㄷ
899,달라지다,동,ㄷㄹㅈㄷ
3916,달래다,동,ㄷㄹㄷ
1805,달려가다,동,ㄷㄹㄱㄷ
4882,달려들다,동,ㄷㄹㄷㄷ
2593,달려오다,동,ㄷㄹㅇㄷ
1790,달리다,동,ㄷㄹㄷ
867,달리다,동,ㄷㄹㄷ
4594,달리하다,동,ㄷㄹㅎㄷ
2710,달아나다,동,ㄷㅇㄴㄷ
2211,닮다,동,ㄷㄷ
2920,담그다,동,ㄷㄱㄷ
1616,담기다,동,ㄷㄱㄷ
609,담다,동,ㄷㄷ
2496,담당하다,동,ㄷㄷㅎㄷ
3228,답하다,동,ㄷㅎㄷ
3140,당기다,동,ㄷㄱㄷ
675,당하다,동,ㄷㅎㄷ
2619,당황하다,동,ㄷㅎㅎㄷ
1434,닿다,동,ㄷㄷ
5337,대기하다,동,ㄷㄱㅎㄷ
724,대다,동,ㄷㄷ
1096,대답하다,동,ㄷㄷㅎㄷ
2568,대비하다,동,ㄷㅂㅎㄷ
3032,대신하다,동,ㄷㅅㅎㄷ
2407,대응하다,동,ㄷㅇㅎㄷ
6387,대접하다,동,ㄷㅈㅎㄷ
3981,대처하다,동,ㄷㅊㅎㄷ
4415,대표하다,동,ㄷㅍㅎㄷ
24,대하다,동,ㄷㅎㄷ
8044,대화하다,동,ㄷㅎㅎㄷ
9095,더러워지다,동,ㄷㄹㅇㅈㄷ
1293,더불다,동,ㄷㅂㄷ
1791,더하다,동,ㄷㅎㄷ
621,던지다,동,ㄷㅈㄷ
3313,덜다,동,ㄷㄷ
2110,덧붙이다,동,ㄷㅂㅇㄷ
2193,덮다,동,ㄷㄷ
5198,덮이다,동,ㄷㅇㄷ
5094,데려가다,동,ㄷㄹㄱㄷ
9529,데려오다,동,ㄷㄹㅇㄷ
1167,데리다,동,ㄷㄹㄷ
9101,데우다,동,ㄷㅇㄷ
3270,도달하다,동,ㄷㄷㅎㄷ
6210,도망가다,동,ㄷㅁㄱㄷ
4195,도망치다,동,ㄷㅁㅊㄷ
2194,도와주다,동,ㄷㅇㅈㄷ
1305,도착하다,동,ㄷㅊㅎㄷ
6775,독립하다,동,ㄷㄹㅎㄷ
927,돌다,동,ㄷㄷ
6776,돌려주다,동,ㄷㄹㅈㄷ
505,돌리다,동,ㄷㄹㄷ
2956,돌보다,동,ㄷㅂㄷ
519,돌아가다,동,ㄷㅇㄱㄷ
3348,돌아다니다,동,ㄷㅇㄷㄴㄷ
2176,돌아보다,동,ㄷㅇㅂㄷ
2825,돌아서다,동,ㄷㅇㅅㄷ
377,돌아오다,동,ㄷㅇㅇㄷ
1109,돕다,동,ㄷㄷ
4198,동의하다,동,ㄷㅇㅎㄷ
5,되다,동,ㄷㄷ
4685,되돌리다,동,ㄷㄷㄹㄷ
5602,되돌아가다,동,ㄷㄷㅇㄱㄷ
8349,되돌아보다,동,ㄷㄷㅇㅂㄷ
5098,되돌아오다,동,ㄷㄷㅇㅇㄷ
6045,되살리다,동,ㄷㅅㄹㄷ
3231,되찾다,동,ㄷㅊㄷ
5887,되풀이되다,동,ㄷㅍㅇㄷㄷ
3523,되풀이하다,동,ㄷㅍㅇㅎㄷ
266,두다,동,ㄷㄷ
2894,두드리다,동,ㄷㄷㄹㄷ
4419,두려워하다,동,ㄷㄹㅇㅎㄷ
2077,두르다,동,ㄷㄹㄷ
5342,두리번거리다,동,ㄷㄹㅂㄱㄹㄷ
2594,둘러보다,동,ㄷㄹㅂㄷ
1850,둘러싸다,동,ㄷㄹㅆㄷ
4995,둘러싸이다,동,ㄷㄹㅆㅇㄷ
2997,뒤따르다,동,ㄷㄸㄹㄷ
3272,뒤지다,동,ㄷㅈㄷ
2957,뒤집다,동,ㄷㅈㄷ
598,드러나다,동,ㄷㄹㄴㄷ
1460,드리다,동,ㄷㄹㄷ
88,듣다,동,ㄷㄷ
91,들다,동,ㄷㄷ
130,들다,동,ㄷㄷ
1733,들려오다,동,ㄷㄹㅇㄷ
4337,들려주다,동,ㄷㄹㅈㄷ
1961,들르다,동,ㄷㄹㄷ
866,들리다,동,ㄷㄹㄷ
158,들어가다,동,ㄷㅇㄱㄷ
646,들어서다,동,ㄷㅇㅅㄷ
256,들어오다,동,ㄷㅇㅇㄷ
9994,들어주다,동,ㄷㅇㅈㄷ
5743,들여놓다,동,ㄷㅇㄴㄷ
1739,들여다보다,동,ㄷㅇㄷㅂㄷ
1515,들이다,동,ㄷㅇㄷ
6779,들이마시다,동,ㄷㅇㅁㅅㄷ
5604,들이켜다,동,ㄷㅇㅋㄷ
9537,등록하다,동,ㄷㄹㅎㄷ
987,등장하다,동,ㄷㅈㅎㄷ
1590,따다,동,ㄸㄷ
2468,따라가다,동,ㄸㄹㄱㄷ
5605,따라다니다,동,ㄸㄹㄷㄴㄷ
3921,따라오다,동,ㄸㄹㅇㄷ
51,따르다,동,ㄸㄹㄷ
3143,따르다,동,ㄸㄹㄷ
1686,때리다,동,ㄸㄹㄷ
5889,떠나가다,동,ㄸㄴㄱㄷ
327,떠나다,동,ㄸㄴㄷ
8727,떠나오다,동,ㄸㄴㅇㄷ
2765,떠들다,동,ㄸㄷㄷ
1042,떠오르다,동,ㄸㅇㄹㄷ
1749,떠올리다,동,ㄸㅇㄹㄷ
1271,떨다,동,ㄸㄷ
2570,떨리다,동,ㄸㄹㄷ
2621,떨어뜨리다,동,ㄸㅇㄸㄹㄷ
299,떨어지다,동,ㄸㅇㅈㄷ
1070,떼다,동,ㄸㄷ
3113,뚫다,동,ㄸㄷ
9541,뛰놀다,동,ㄸㄴㄷ
1852,뛰다,동,ㄸㄷ
1626,뛰다,동,ㄸㄷ
4598,뛰어가다,동,ㄸㅇㄱㄷ
9998,뛰어나가다,동,ㄸㅇㄴㄱㄷ
9114,뛰어나오다,동,ㄸㅇㄴㅇㄷ
6399,뛰어내리다,동,ㄸㅇㄴㄹㄷ
3315,뛰어넘다,동,ㄸㅇㄴㄷ
9999,뛰어놀다,동,ㄸㅇㄴㄷ
7224,뛰어다니다,동,ㄸㅇㄷㄴㄷ
2280,뛰어들다,동,ㄸㅇㄷㄷ
9542,뛰어오다,동,ㄸㅇㅇㄷ
6780,뛰어오르다,동,ㄸㅇㅇㄹㄷ
1389,뜨다,동,ㄸㄷ
7753,뜨다,동,ㄸㄷ
1673,뜨다,동,ㄸㄷ
3634,뜯다,동,ㄸㄷ
1816,뜻하다,동,ㄸㅎㄷ
1792,띄다,동,ㄸㄷ
4687,띄우다,동,ㄸㅇㄷ
2440,마련되다,동,ㅁㄹㄷㄷ
833,마련하다,동,ㅁㄹㅎㄷ
1649,마르다,동,ㅁㄹㄷ
365,마시다,동,ㅁㅅㄷ
4339,마음먹다,동,ㅁㅇㅁㄷ
3741,마주치다,동,ㅁㅈㅊㄷ
711,마치다,동,ㅁㅊㄷ
700,막다,동,ㅁㄷ
1344,막히다,동,ㅁㅎㄷ
166,만나다,동,ㅁㄴㄷ
61,만들다,동,ㅁㄷㄷ
1071,만들어지다,동,ㅁㄷㅇㅈㄷ
6049,만족하다,동,ㅁㅈㅎㄷ
2522,만지다,동,ㅁㅈㄷ
2381,많아지다,동,ㅁㅇㅈㄷ
5343,말다,동,ㅁㄷ
576,말다,동,ㅁㄷ
3922,말리다,동,ㅁㄹㄷ
3232,말리다,동,ㅁㄹㄷ
3184,말씀드리다,동,ㅁㅆㄷㄹㄷ
1381,말씀하다,동,ㅁㅆㅎㄷ
32,말하다,동,ㅁㅎㄷ
3275,맛보다,동,ㅁㅂㄷ
3467,망설이다,동,ㅁㅅㅇㄷ
5000,망치다,동,ㅁㅊㄷ
3146,망하다,동,ㅁㅎㄷ
378,맞다,동,ㅁㄷ
800,맞다,동,ㅁㄷ
1546,맞다,동,ㅁㄷ
2828,맞서다,동,ㅁㅅㄷ
3317,맞이하다,동,ㅁㅇㅎㄷ
694,맞추다,동,ㅁㅊㄷ
1516,맡기다,동,ㅁㄱㄷ
633,맡다,동,ㅁㄷ
4422,맡다,동,ㅁㄷ
3982,매다,동,ㅁㄷ
6994,매달다,동,ㅁㄷㄷ
1962,매달리다,동,ㅁㄷㄹㄷ
1674,맺다,동,ㅁㄷ
2094,머무르다,동,ㅁㅁㄹㄷ
2469,머물다,동,ㅁㅁㄷ
5478,먹고살다,동,ㅁㄱㅅㄷ
10015,먹다,동,ㅁㄷ
70,먹다,동,ㅁㄷ
2060,먹이다,동,ㅁㅇㄷ
8361,먹히다,동,ㅁㅎㄷ
3186,멀어지다,동,ㅁㅇㅈㄷ
1418,멈추다,동,ㅁㅊㄷ
5479,멎다,동,ㅁㄷ
6051,메다,동,ㅁㄷ
3805,메우다,동,ㅁㅇㄷ
3527,면하다,동,ㅁㅎㄷ
59,모르다,동,ㅁㄹㄷ
3528,모색하다,동,ㅁㅅㅎㄷ
1368,모시다,동,ㅁㅅㄷ
5899,모여들다,동,ㅁㅇㄷㄷ
508,모으다,동,ㅁㅇㄷ
610,모이다,동,ㅁㅇㄷ
2829,모자라다,동,ㅁㅈㄹㄷ
8064,모집하다,동,ㅁㅈㅎㄷ
2196,몰다,동,ㅁㄷ
4790,몰려들다,동,ㅁㄹㄷㄷ
6052,몰려오다,동,ㅁㄹㅇㄷ
495,못하다,동,ㅁㅎㄷ
3746,묘사하다,동,ㅁㅅㅎㄷ
1793,무너지다,동,ㅁㄴㅈㄷ
2061,무시하다,동,ㅁㅅㅎㄷ
5902,묵다,동,ㅁㄷ
7769,묵다,동,ㅁㄷ
2711,묶다,동,ㅁㄷ
4892,묶이다,동,ㅁㅇㄷ
7002,문제되다,동,ㅁㅈㄷㄷ
2282,묻다,동,ㅁㄷ
3279,묻다,동,ㅁㄷ
289,묻다,동,ㅁㄷ
5008,묻히다,동,ㅁㅎㄷ
3073,묻히다,동,ㅁㅎㄷ
2024,물다,동,ㅁㄷ
3580,물러나다,동,ㅁㄹㄴㄷ
1483,물어보다,동,ㅁㅇㅂㄷ
5753,미끄러지다,동,ㅁㄲㄹㅈㄷ
2157,미루다,동,ㅁㄹㄷ
8071,미워하다,동,ㅁㅇㅎㄷ
1918,미치다,동,ㅁㅊㄷ
1044,미치다,동,ㅁㅊㄷ
431,믿다,동,ㅁㄷ
6058,믿어지다,동,ㅁㅇㅈㄷ
1485,밀다,동,ㅁㄷ
4425,밀리다,동,ㅁㄹㄷ
432,바꾸다,동,ㅂㄲㄷ
759,바뀌다,동,ㅂㄲㄷ
583,바라다,동,ㅂㄹㄷ
387,바라보다,동,ㅂㄹㅂㄷ
2800,바로잡다,동,ㅂㄹㅈㄷ
1497,바르다,동,ㅂㄹㄷ
2960,바치다,동,ㅂㅊㄷ
2830,박다,동,ㅂㄷ
2801,박히다,동,ㅂㅎㄷ
8377,반기다,동,ㅂㄱㄷ
2039,반대하다,동,ㅂㄷㅎㄷ
4273,반복되다,동,ㅂㅂㄷㄷ
4341,반복하다,동,ㅂㅂㅎㄷ
4342,반성하다,동,ㅂㅅㅎㄷ
2214,반영하다,동,ㅂㅇㅎㄷ
9570,반짝거리다,동,ㅂㅉㄱㄹㄷ
7246,반짝이다,동,ㅂㅉㅇㄷ
2961,반하다,동,ㅂㅎㄷ
47,받다,동,ㅂㄷ
787,받아들이다,동,ㅂㅇㄷㅇㄷ
1638,발견되다,동,ㅂㄱㄷㄷ
826,발견하다,동,ㅂㄱㅎㄷ
5490,발달되다,동,ㅂㄷㄷㄷ
982,발달하다,동,ㅂㄷㅎㄷ
746,발생하다,동,ㅂㅅㅎㄷ
16889,발음하다,동,ㅂㅇㅎㄷ
5010,발전되다,동,ㅂㅈㄷㄷ
983,발전하다,동,ㅂㅈㅎㄷ
2962,발표되다,동,ㅂㅍㄷㄷ
835,발표하다,동,ㅂㅍㅎㄷ
2040,발휘하다,동,ㅂㅎㅎㄷ
8753,밝다,동,ㅂㄷ
9148,밝아지다,동,ㅂㅇㅈㄷ
3929,밝혀내다,동,ㅂㅎㄴㄷ
1362,밝혀지다,동,ㅂㅎㅈㄷ
230,밝히다,동,ㅂㅎㄷ
1919,밟다,동,ㅂㄷ
9149,밤새다,동,ㅂㅅㄷ
9572,밤새우다,동,ㅂㅅㅇㄷ
1945,방문하다,동,ㅂㅁㅎㄷ
6796,방송하다,동,ㅂㅅㅎㄷ
5012,방지하다,동,ㅂㅈㅎㄷ
4896,방해하다,동,ㅂㅎㅎㄷ
3354,배다,동,ㅂㄷ
441,배우다,동,ㅂㅇㄷ
4797,뱉다,동,ㅂㄷ
4696,버려지다,동,ㅂㄹㅈㄷ
704,버리다,동,ㅂㄹㄷ
2525,버티다,동,ㅂㅌㄷ
10051,번역하다,동,ㅂㅇㅎㄷ
1087,벌다,동,ㅂㄷ
2628,벌리다,동,ㅂㄹㄷ
4798,벌어지다,동,ㅂㅇㅈㄷ
1498,벌어지다,동,ㅂㅇㅈㄷ
627,벌이다,동,ㅂㅇㄷ
2499,벗기다,동,ㅂㄱㄷ
1104,벗다,동,ㅂㄷ
3750,베다,동,ㅂㄷ
690,변하다,동,ㅂㅎㄷ
5620,변화되다,동,ㅂㅎㄷㄷ
1975,변화하다,동,ㅂㅎㅎㄷ
4429,병들다,동,ㅂㄷㄷ
3869,보고하다,동,ㅂㄱㅎㄷ
2630,보관하다,동,ㅂㄱㅎㄷ
265,보내다,동,ㅂㄴㄷ
7785,보내오다,동,ㅂㄴㅇㄷ
17,보다,동,ㅂㄷ
4514,보도되다,동,ㅂㄷㄷㄷ
2062,보도하다,동,ㅂㄷㅎㄷ
5218,보살피다,동,ㅂㅅㅍㄷ
