순위,단어,품사,초성,은이-는가
5000,경상도,고,ㄱㅅㄷ,1
1034,경영,명,ㄱㅇ,0
65,경우,명,ㄱㅇ,1
762,경쟁,명,ㄱㅈ,0
2264,경쟁력,명,ㄱㅈㄹ,0
200,경제,명,ㄱㅈ,1
4969,경제력,명,ㄱㅈㄹ,0
2492,경제적,명,ㄱㅈㅈ,0
5713,경제학,명,ㄱㅈㅎ,0
5000,경주,고,ㄱㅈ,1
632,경찰,명,ㄱㅊ,0
2329,경찰관,명,ㄱㅊㄱ,0
3214,경찰서,명,ㄱㅊㅅ,1
5452,경치,명,ㄱㅊ,1
1093,경향,명,ㄱㅎ,0
585,경험,명,ㄱㅎ,0
1586,곁,명,ㄱ,0
2544,계곡,명,ㄱㄱ,0
2206,계단,명,ㄱㄷ,0
6951,계란,명,ㄱㄹ,0
1827,계산,명,ㄱㅅ,0
3390,계산기,명,ㄱㅅㄱ,1
2350,계약,명,ㄱㅇ,0
2520,계절,명,ㄱㅈ,0
3138,계좌,명,ㄱㅈ,1
2054,계층,명,ㄱㅊ,0
400,계획,명,ㄱㅎ,0
403,고개,명,ㄱㄱ,1
5857,고개,명,ㄱㄱ,1
1717,고객,명,ㄱㄱ,0
3968,고교,명,ㄱㄱ,1
5000,고구려,고,ㄱㄱㄹ,1
7996,고구마,명,ㄱㄱㅁ,1
11578,고궁,명,ㄱㄱ,0
1915,고급,명,ㄱㄱ,0
1055,고기,명,ㄱㄱ,1
1337,고등학교,명,ㄱㄷㅎㄱ,1
7445,고등학생,명,ㄱㄷㅎㅅ,0
5000,고려,고,ㄱㄹ,1
1848,고모,명,ㄱㅁ,1
8668,고모부,명,ㄱㅁㅂ,1
9911,고무신,명,ㄱㅁㅅ,0
1748,고민,명,ㄱㅁ,0
1916,고생,명,ㄱㅅ,0
6178,고속,명,ㄱㅅ,0
5176,고속도로,명,ㄱㅅㄷㄹ,1
11580,고속버스,명,ㄱㅅㅂㅅ,1
1987,고양이,명,ㄱㅇㅇ,1
1480,고장,명,ㄱㅈ,0
3625,고장,명,ㄱㅈ,0
2733,고전,명,ㄱㅈ,0
5316,고집,명,ㄱㅈ,0
2126,고추,명,ㄱㅊ,1
6014,고추장,명,ㄱㅊㅈ,0
9916,고춧가루,명,ㄱㅊㄱㄹ,1
986,고통,명,ㄱㅌ,0
4181,고함,명,ㄱㅎ,0
593,고향,명,ㄱㅎ,0
3459,곡,명,ㄱ,0
3460,곡식,명,ㄱㅅ,0
1083,골,명,ㄱ,0
2821,골목,명,ㄱㅁ,0
7448,골목길,명,ㄱㅁㄱ,0
3971,골짜기,명,ㄱㅉㄱ,1
6181,골치,명,ㄱㅊ,1
5717,골프,명,ㄱㅍ,1
6015,골프장,명,ㄱㅍㅈ,0
4671,곰,명,ㄱ,0
116,곳,명,ㄱ,0
2589,곳곳,명,ㄱㄱ,0
988,공,명,ㄱ,0
623,공간,명,ㄱㄱ,0
1338,공개,명,ㄱㄱ,1
1988,공격,명,ㄱㄱ,0
4114,공공,명,ㄱㄱ,0
4043,공군,명,ㄱㄱ,0
1772,공급,명,ㄱㄱ,0
1433,공기,명,ㄱㄱ,1
9047,공기,명,ㄱㄱ,1
