순위,단어,품사,초성
1565,바람직하다,형,ㅂㄹㅈㅎㄷ
1135,바르다,형,ㅂㄹㄷ
868,바쁘다,형,ㅂㅃㄷ
1868,반갑다,형,ㅂㄱㄷ
1322,밝다,형,ㅂㄷ
5212,밤늦다,형,ㅂㄴㄷ
5905,배고프다,형,ㅂㄱㅍㄷ
8757,배부르다,형,ㅂㅂㄹㄷ
6415,번거롭다,형,ㅂㄱㄹㄷ
3471,별다르다,형,ㅂㄷㄹㄷ
1347,복잡하다,형,ㅂㅈㅎㄷ
2356,부끄럽다,형,ㅂㄲㄹㄷ
1062,부드럽다,형,ㅂㄷㄹㄷ
2412,부럽다,형,ㅂㄹㄷ
6070,부르다,형,ㅂㄹㄷ
1243,부족하다,형,ㅂㅈㅎㄷ
10068,부지런하다,형,ㅂㅈㄹㅎㄷ
958,분명하다,형,ㅂㅁㅎㄷ
7258,분주하다,형,ㅂㅈㅎㄷ
1593,불가능하다,형,ㅂㄱㄴㅎㄷ
3003,불가피하다,형,ㅂㄱㅍㅎㄷ
934,불과하다,형,ㅂㄱㅎㄷ
4061,불리하다,형,ㅂㄹㅎㄷ
3188,불쌍하다,형,ㅂㅆㅎㄷ
2180,불안하다,형,ㅂㅇㅎㄷ
6812,불완전하다,형,ㅂㅇㅈㅎㄷ
1808,불편하다,형,ㅂㅍㅎㄷ
6072,불평등하다,형,ㅂㅍㄷㅎㄷ
7027,불필요하다,형,ㅂㅍㅇㅎㄷ
3318,불행하다,형,ㅂㅎㅎㄷ
8779,불확실하다,형,ㅂㅎㅅㅎㄷ
1946,붉다,형,ㅂㄷ
760,비슷하다,형,ㅂㅅㅎㄷ
1819,비싸다,형,ㅂㅆㄷ
613,빠르다,형,ㅃㄹㄷ
2385,빨갛다,형,ㅃㄱㄷ
3476,뻔하다,형,ㅃㅎㄷ
7539,사랑스럽다,형,ㅅㄹㅅㄹㄷ
5763,사소하다,형,ㅅㅅㅎㄷ
7801,사이좋다,형,ㅅㅇㅈㄷ
3934,상관없다,형,ㅅㄱㅇㄷ
1920,상당하다,형,ㅅㄷㅎㄷ
5767,상쾌하다,형,ㅅㅋㅎㄷ
180,새롭다,형,ㅅㄹㄷ
5926,색다르다,형,ㅅㄷㄹㄷ
5629,서늘하다,형,ㅅㄴㅎㄷ
8798,서투르다,형,ㅅㅌㄹㄷ
9632,서툴다,형,ㅅㅌㄷ
4909,선명하다,형,ㅅㅁㅎㄷ
4617,섭섭하다,형,ㅅㅅㅎㄷ
3645,성실하다,형,ㅅㅅㅎㄷ
3415,세다,형,ㅅㄷ
4619,세련되다,형,ㅅㄹㄷㄷ
10106,섹시하다,형,ㅅㅅㅎㄷ
3589,소박하다,형,ㅅㅂㅎㄷ
8118,소용없다,형,ㅅㅇㅇㄷ
1993,소중하다,형,ㅅㅈㅎㄷ
8120,속상하다,형,ㅅㅅㅎㄷ
4620,손쉽다,형,ㅅㅅㄷ
2553,솔직하다,형,ㅅㅈㅎㄷ
1370,수많다,형,ㅅㅁㄷ
2237,순수하다,형,ㅅㅅㅎㄷ
6627,순진하다,형,ㅅㅈㅎㄷ
9655,순하다,형,ㅅㅎㄷ
246,쉽다,형,ㅅㄷ
2284,슬프다,형,ㅅㅍㄷ
4809,시끄럽다,형,ㅅㄲㄹㄷ
1844,시원하다,형,ㅅㅇㅎㄷ
3939,신기하다,형,ㅅㄱㅎㄷ
5237,신기하다,형,ㅅㄱㅎㄷ
2658,신선하다,형,ㅅㅅㅎㄷ
5939,신속하다,형,ㅅㅅㅎㄷ
5941,신중하다,형,ㅅㅈㅎㄷ
776,싫다,형,ㅅㄷ
1073,심각하다,형,ㅅㄱㅎㄷ
6634,심심하다,형,ㅅㅅㅎㄷ
761,심하다,형,ㅅㅎㄷ
8830,싱겁다,형,ㅅㄱㄷ
4137,싱싱하다,형,ㅅㅅㅎㄷ
2240,싸다,형,ㅆㄷ
5779,썰렁하다,형,ㅆㄹㅎㄷ
10658,쓰다,형,ㅆㄷ
7057,쓸데없다,형,ㅆㄷㅇㄷ
4289,쓸쓸하다,형,ㅆㅆㅎㄷ
6272,씩씩하다,형,ㅆㅆㅎㄷ
3695,아깝다,형,ㅇㄲㄷ
16,아니다,형,ㅇㄴㄷ
332,아름답다,형,ㅇㄹㄷㄷ
2805,아무렇다,형,ㅇㅁㄹㄷ
3077,아쉽다,형,ㅇㅅㄷ
589,아프다,형,ㅇㅍㄷ
1978,안녕하다,형,ㅇㄴㅎㄷ
7295,안되다,형,ㅇㄷㄷ
2835,안전하다,형,ㅇㅈㅎㄷ
2554,안타깝다,형,ㅇㅌㄲㄷ
1364,알맞다,형,ㅇㅁㄷ
8840,야하다,형,ㅇㅎㄷ
1860,약하다,형,ㅇㅎㄷ
8458,얄밉다,형,ㅇㅁㄷ
3421,얇다,형,ㅇㄷ
9253,얕다,형,ㅇㄷ
1476,어둡다,형,ㅇㄷㄷ
845,어떠하다,형,ㅇㄸㅎㄷ
76,어떻다,형,ㅇㄸㄷ
223,어렵다,형,ㅇㄹㄷ
481,어리다,형,ㅇㄹㄷ
3698,어리석다,형,ㅇㄹㅅㄷ
2775,어색하다,형,ㅇㅅㅎㄷ
4292,어지럽다,형,ㅇㅈㄹㄷ
3364,억울하다,형,ㅇㅇㅎㄷ
2506,엄격하다,형,ㅇㄱㅎㄷ
6100,엄숙하다,형,ㅇㅅㅎㄷ
937,엄청나다,형,ㅇㅊㄴㄷ
10,없다,형,ㅇㄷ
2903,엉뚱하다,형,ㅇㄸㅎㄷ
7848,여전하다,형,ㅇㅈㅎㄷ
7311,연하다,형,ㅇㅎㄷ
5649,엷다,형,ㅇㄷ
2934,영원하다,형,ㅇㅇㅎㄷ
1009,예쁘다,형,ㅇㅃㄷ
1652,올바르다,형,ㅇㅂㄹㄷ
1172,옳다,형,ㅇㄷ
2507,완벽하다,형,ㅇㅂㅎㄷ
2508,완전하다,형,ㅇㅈㅎㄷ
3322,외롭다,형,ㅇㄹㄷ
7588,용감하다,형,ㅇㄱㅎㄷ
4924,우수하다,형,ㅇㅅㅎㄷ
3706,우습다,형,ㅇㅅㄷ
5654,우아하다,형,ㅇㅇㅎㄷ
5790,우울하다,형,ㅇㅇㅎㄷ
5042,웬만하다,형,ㅇㅁㅎㄷ
1952,위대하다,형,ㅇㄷㅎㄷ
2141,위험하다,형,ㅇㅎㅎㄷ
8489,유능하다,형,ㅇㄴㅎㄷ
3292,유리하다,형,ㅇㄹㅎㄷ
1605,유명하다,형,ㅇㅁㅎㄷ
3488,유사하다,형,ㅇㅅㅎㄷ
5956,은은하다,형,ㅇㅇㅎㄷ
113,이러하다,형,ㅇㄹㅎㄷ
105,이렇다,형,ㅇㄹㄷ
8503,이롭다,형,ㅇㄹㄷ
2557,이르다,형,ㅇㄹㄷ
732,이상하다,형,ㅇㅅㅎㄷ
7599,익다,형,ㅇㄷ
3708,익숙하다,형,ㅇㅅㅎㄷ
1360,일정하다,형,ㅇㅈㅎㄷ
4,있다,형,ㅇㄷ
2581,자랑스럽다,형,ㅈㄹㅅㄹㄷ
4013,자세하다,형,ㅈㅅㅎㄷ
924,자연스럽다,형,ㅈㅇㅅㄹㄷ
1278,자유롭다,형,ㅈㅇㄹㄷ
259,작다,형,ㅈㄷ
4099,잘나다,형,ㅈㄴㄷ
6668,잘생기다,형,ㅈㅅㄱㄷ
3655,잦다,형,ㅈㄷ
5538,재미없다,형,ㅈㅁㅇㄷ
697,재미있다,형,ㅈㅁㅇㄷ
5804,재밌다,형,ㅈㅁㄷ
3085,저렇다,형,ㅈㄹㄷ
590,적다,형,ㅈㄷ
2583,적당하다,형,ㅈㄷㅎㄷ
